'duration','protocol_type','service','flag','src_bytes','dst_bytes','land','wrong_fragment','urgent','hot','num_failed_logins','logged_in','num_compromised','root_shell','su_attempted','num_root','num_file_creations','num_shells','num_access_files','num_outbound_cmds','is_host_login','is_guest_login','count','srv_count','serror_rate','srv_serror_rate','rerror_rate','srv_rerror_rate','same_srv_rate','diff_srv_rate','srv_diff_host_rate','dst_host_count','dst_host_srv_count','dst_host_same_srv_rate','dst_host_diff_srv_rate','dst_host_same_src_port_rate','dst_host_srv_diff_host_rate','dst_host_serror_rate','dst_host_srv_serror_rate','dst_host_rerror_rate','dst_host_srv_rerror_rate','class'
1,0,1,24,9,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,55,55,1,0,0.02,0,0,0,0.22,0.22
1,0,1,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,17,1,1,0,0,0.08,0.06,0,255,17,0.07,0.06,0,0,1,1,0,0
0,3,1,60,9,44,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,23,5,0.22,0.17,0.04,0,0.13,0.6,0,0
0,0,1,24,9,160,45756,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0
1,0,1,55,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,1,1,1,0,0,0,0.06,0,255,20,0.08,0.07,0,0,1,1,0,0
0,0,1,24,9,212,323,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,18,255,1,0,0.06,0.04,0,0,0,0.01
1,0,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,10,0,0,1,1,0.07,0.06,0,255,10,0.04,0.05,0,0,0,0,1,1
0,266,1,60,9,205,6458,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,122,26,0.21,0.04,0.01,0,0,0,0.02,0.08
1,0,1,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,14,1,1,0,0,0.24,0.07,0,255,63,0.25,0.02,0.02,0,1,1,0,0
1,0,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,1,0.01,0,0.91,1,0.01,1,0,255,1,0,0.45,0,0,0,0,0.41,1
0,0,1,54,9,946,327,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,37,30,0.81,0.08,0.03,0,0,0,0,0
